value_ms,qos,metric
24.761427001067204,standard,ttfb
4.787447000126122,standard,ttfb
10.467603999131825,standard,ttfb
4.856758998357691,standard,ttfb
94.78302299976349,standard,ttfb
5.018505002226448,standard,ttfb
78.76648900128203,standard,ttfb
5.869774999155197,standard,ttfb
4.535361000307603,standard,ttfb
89.36557299966807,standard,ttfb
4.795733002538327,standard,ttfb
6.634312001551734,standard,ttfb
87.61746500022127,standard,ttfb
4.031807999126613,standard,ttfb
4.269446999387583,standard,ttfb
107.50415999791585,standard,ttfb
4.939294998621335,standard,ttfb
78.60653800162254,standard,ttfb
10.718358000303851,standard,ttfb
4.592879002302652,standard,ttfb
4.713408001407515,standard,ttfb
4.540630001429236,standard,ttfb
174.6971240027051,standard,ttfb
99.80712800097535,standard,ttfb
4.6565490010834765,standard,ttfb
4.994800001441035,standard,ttfb
89.83791599894175,standard,ttfb
5.252718001429457,standard,ttfb
4.9295160024485085,standard,ttfb
189.1295480018016,standard,ttfb
4.675126001529861,standard,ttfb
111.13766500056954,standard,ttfb
4.888609000772703,standard,ttfb
78.8503590010805,standard,ttfb
15.55634100077441,standard,ttfb
5.011029999877792,standard,ttfb
78.71515299848397,standard,ttfb
4.838844997721026,standard,ttfb
5.030897998949513,standard,ttfb
105.72844100170187,standard,ttfb
4.880934000539128,standard,ttfb
4.705062001448823,standard,ttfb
89.6862699992198,standard,ttfb
4.8300380003638566,standard,ttfb
78.99525299944798,standard,ttfb
4.573253001581179,standard,ttfb
5.164671001693932,standard,ttfb
89.86648000063724,standard,ttfb
6.1710250010946766,standard,ttfb
5.408040997281205,standard,ttfb
5.102053000882734,standard,ttfb
5.3700399985245895,standard,ttfb
93.25348899801611,standard,ttfb
6.201543001225218,standard,ttfb
393.4542360002524,standard,ttfb
4.8430429997097235,standard,ttfb
194.43120899813948,standard,ttfb
4.891704997135093,standard,ttfb
94.93921700050123,standard,ttfb
5.081323000922566,standard,ttfb
594.8024009994697,standard,ttfb
5.850217999977758,standard,ttfb
5.387343000620604,standard,ttfb
5.5449009996664245,standard,ttfb
5.847994001669576,standard,ttfb
10.577381999610225,standard,ttfb
5.018145002395613,standard,ttfb
6.5920209999603685,standard,ttfb
5.016371000237996,standard,ttfb
5.068328999186633,standard,ttfb
4.877407998719718,standard,ttfb
138.07676100259414,standard,ttfb
83.98420200319379,standard,ttfb
199.64507300028345,standard,ttfb
99.64225500152679,standard,ttfb
6.062630000087665,standard,ttfb
4.837101998418802,standard,ttfb
4.790131999470759,standard,ttfb
4.723044999991544,standard,ttfb
178.84828699970967,standard,ttfb
